finding_id,source,clip_id,provider,accent,tier,domain,kind,expected,heard,weight,ref_excerpt,hyp_excerpt,auto_flag,needs_listen,failure_code,severity,note
12,detector,8132758125fa0e3156821052a383f9ef,dg-general,hausa,A,clinical,ASR-COLLAPSE,encounter for supervision of other normal pregnancy 1st trimester tablet oral 28 cyclafem 7 7,survivation of other 1st damages to blood fracture of lodzius formula,3.8095,[[encounter]] for supervision of other normal pregnancy 1st,survivation of other 1st damages to blood fracture,ASR-COLLAPSE candidate,,,,
13,detector,cee69f2a5332655a8e0bf4626e3c67c5,whisper,ibibio,B,clinical,ASR-COLLAPSE,she was started on nadolol hospital ekwutosinammaduibegi ppi and sucralfate,she was started on nadolo hospital equal to sinan madwi begging ppi and suko alphae,3.8095,[[she]] was started on nadolol hospital ekwutosinammaduibegi ppi,she was started on nadolo hospital equal to,ASR-COLLAPSE candidate,,,,
14,detector,8132758125fa0e3156821052a383f9ef,gemini,hausa,A,clinical,ASR-COLLAPSE,encounter for supervision of other normal pregnancy 1st trimester tablet oral 28 cyclafem 7 7,solvatation of other 1st transmit tobulate fraction of low trust formula,3.8095,[[encounter]] for supervision of other normal pregnancy 1st,solvatation of other 1st transmit tobulate fraction of,ASR-COLLAPSE candidate,,,,
15,detector,cf605b3aaadbd365452e997fbc78122d,gemini,efik,C,clinical,ASR-COLLAPSE,tablet chewable oral vyvanse lisdexamfetamine dimesylate 10 mg,comprimes trouble oral vivance dees en fetamine dimethylate comate 10 mg,3.8095,[[tablet]] chewable oral vyvanse lisdexamfetamine dimesylate 10 mg,comprimes trouble oral vivance dees en fetamine dimethylate,ASR-COLLAPSE candidate,,,,
16,detector,9259dde6b27dc39fcc0779e36d0bec02,whisper,kikuyu,C,clinical,ASR-COLLAPSE,instruct patient to inhale slowly and as deeply as possible through the mouthpiece without using,ndiyoza wakati kuaweza kuhulio kwa hivyo na kwa hivyo ni kwa mawazo wakati kwa wakati,3.8095,[[instruct]] patient to inhale slowly and as deeply,ndiyoza wakati kuaweza kuhulio kwa hivyo na kwa,ASR-COLLAPSE candidate,,,,
17,detector,ee9c796e757ac3a2493c10bd9d7029c5,aai,yoruba,A,clinical,ASR-COLLAPSE,nospits max aspirate 3.6 cc,no spits mass aspirate ccc,3.8095,[[nospits]] max aspirate 3.6 cc,no spits mass aspirate ccc,ASR-COLLAPSE candidate,,,,
18,detector,bfeb15fa6cda5bc99eca0dfa907afdfd,whisper,igarra,C,clinical,ASR-COLLAPSE,9 levothyroxine 50 mcg tablet sig one one tablet po dailydaily.10,9 1050 in sitchita day one one chabdes 4 10 10 10,3.8095,[[9]] levothyroxine 50 mcg tablet sig one one,9 1050 in sitchita day one one chabdes,ASR-COLLAPSE candidate,,,,
19,detector,a7046fce47c40b1fd7e5e841203d129f,dg-medical,urhobo,B,clinical,ASR-COLLAPSE,sleeping and abg at 300,sleeping and a b g at 0300,3.8095,[[sleeping]] and abg at 300,sleeping and a b g at 0300,ASR-COLLAPSE candidate,,,,
20,detector,8976dc7ac0cf57b7d29b4c988b7f1253,dg-general,benin,C,general,ASR-COLLAPSE,izuojukwu okeyogunjioforamvca amvca 8 pic twitter com 3 qococftj 6,izu ojuku oke ogunjiofo amvca a m v c a 8 pic dot twitter dot,3.8095,[[izuojukwu]] okeyogunjioforamvca amvca 8 pic twitter com 3,izu ojuku oke ogunjiofo amvca a m v,ASR-COLLAPSE candidate,,,,
21,detector,16c2e642a0c9b3dc37e4b944aeeb2de0,gemini,angas,C,clinical,ASR-COLLAPSE,initial intrapartum antibiotic dose given less than 2 hours prior to delivery,mais je souhaite interrompre antibiote du divin de ca 2 h prior to delivery,3.8095,[[initial]] intrapartum antibiotic dose given less than 2,mais je souhaite interrompre antibiote du divin de,ASR-COLLAPSE candidate,,,,
22,detector,eaa66b82d267fa11b54cf412eb32aab3,dg-medical,idoma,B,clinical,DOSE-MISS,40 ml,,2.0952,pox one [[40]] cc and bfx one so far this,pox one for tct and bf one so far this,DOSE-MISS candidate,,,,
23,detector,8a9cea52e9b59a3a21705dc3c2885d04,whisper,nyandang,C,clinical,DOSE-MISS,130 ml,,2.0952,fen tf [[130]] cc k d of bm 32 with,fentf 136 c k t of pm 32 with,DOSE-MISS candidate,,,,
24,detector,a118dd3124494bfe59ab23ed58e83735,aai,idah,C,clinical,DOSE-MISS,42 ml,,2.0952,at 5 mcg kg and tpn at [[42]] cc hr,kilogram and total parenteral nutrition at 42 cubic centimeters per hour,DOSE-MISS candidate,,,,
25,detector,c0a962e9ab1e4b0165f645072d036ce7,whisper,ebira,B,clinical,DOSE-MISS,5 mg,,2.0952,boda aware and [[5]] mg total lopressor given with some relief,one one and one one mg total low pressure given with some,DOSE-MISS candidate,,,,
26,detector,bde569d1c5436b9011e7291e0591791d,dg-medical,itsekiri,C,clinical,DOSE-MISS,30 units,,2.0952,[[30]] units of lantus given riss scale per,units of lantus given risk scale per cvicu,DOSE-MISS candidate,,,,
27,detector,fb226674b17933ee5365ba61f4e6f578,dg-medical,etche,C,clinical,DOSE-MISS,57 ml,,2.0952,amt [[57]] ml opti 240 60 ml opti 320,7 mil opti 24060 mil opti 320 cpt,DOSE-MISS candidate,,,,
28,detector,1dda8dca0b084c03fc5ea2a901de6043,dg-medical,igbo,A,clinical,DOSE-MISS,100 ml,,2.0952,plastic container dextrose sodium chloride 2.5 gm [[100]] ml 110 mg 100 ml cerebral infarction,dextrose sodium chloride 5 gram per 100 mil 110 milligram per 100 mil celebre cerebral,DOSE-MISS candidate,,,,
29,detector,233b65fe511818e326eff9bffdc2bf6f,whisper,hausa,A,clinical,DOSE-MISS,3 hours,,2.0952,isolette weaned q [[3]] hours so far this shift,isolate when q 3 so far this shift,DOSE-MISS candidate,,,,
30,detector,20d0b5e49fb27db230bccda1d2c38946,dg-medical,delta,C,clinical,DOSE-MISS,4 l,,2.0952,resp remains on nc at [[4]] l ls clear and diminished at bases,remains on capitansy at 4 capital l capital l s clear and diminished at,DOSE-MISS candidate,,,,
31,detector,1dda8dca0b084c03fc5ea2a901de6043,dg-medical,igbo,A,clinical,DOSE-MISS,100 ml,,2.0952,plastic container dextrose sodium chloride 2.5 gm [[100]] ml 110 mg 100 ml cerebral infarction,dextrose sodium chloride 5 gram per 100 mil 110 milligram per 100 mil celebre cerebral,DOSE-MISS candidate,,,,
32,detector,1dda8dca0b084c03fc5ea2a901de6043,whisper,igbo,A,clinical,DOSE-MISS,100 ml,,2.0952,plastic container dextrose sodium chloride 2.5 gm [[100]] ml 110 mg 100 ml cerebral infarction,container dextrose sodium chloride 5 gram per 100 mil 110 milligram per 100 mil cerebral,DOSE-MISS candidate,,,,
33,detector,a118dd3124494bfe59ab23ed58e83735,dg-medical,idah,C,clinical,DOSE-MISS,42 ml,,2.0952,at 5 mcg kg and tpn at [[42]] cc hr,kilogram and total parenteral nutrition at 42 cubic centimeters per hour,DOSE-MISS candidate,,,,
34,detector,b89670db369c7e025fb0d74ca94533af,dg-general,hausa,A,clinical,DOSE-MISS,5 ml,,2.0952,children is cetirizine hydrochloride allergy cetirizine hydrochloride [[5]] mg 5 ml,is strenghin hydrochloride allergy strenghin hydrochloride 5 milligram for 5 mil,DOSE-MISS candidate,,,,
35,detector,58fb549d14b07c3aae8b252439917dce,whisper,idoma,B,clinical,DOSE-MISS,2 l,,2.0952,sats 97 100% on [[2]] l nc,sat 97 to 100% on 2 lnc,DOSE-MISS candidate,,,,
36,detector,320840b5470cf91679cb154ecddc4d86,gemini,hausa,A,clinical,DOSE-MISS,8 units,,2.0952,elevated inr the patient was given [[8]] units of fresh frozen plasma with correction,patient iv line up the patient was given each unit of fresh frozen plasma with,DOSE-MISS candidate,,,,
37,detector,25dead43f9b4f15ff2360caf740a560c,dg-general,yoruba,A,clinical,DOSE-MISS,5 ml,,2.0952,intramuscular hydroxyprogesterone caproate hydroxyprogesterone caproate 1250 mg [[5]] ml,caproate 1250 milligram per 5 mil 250 milligram per mil,DOSE-MISS candidate,,,,
38,detector,fb226674b17933ee5365ba61f4e6f578,dg-medical,etche,C,clinical,DOSE-MISS,60 ml,,2.0952,amt 57 ml opti 240 [[60]] ml opti 320 cpt,7 mil opti 24060 mil opti 320 cpt,DOSE-MISS candidate,,,,
39,detector,27984ad90703cedf54d2c84bfc6e1a3c,gemini,hausa,A,clinical,DOSE-MISS,40 meq,,2.0952,labs checked at this time repleted with [[40]] meq of k dur,left check at this time play stage with 40 makeup kur,DOSE-MISS candidate,,,,
40,detector,20d0b5e49fb27db230bccda1d2c38946,gemini,delta,C,clinical,DOSE-MISS,4 l,,2.0952,resp remains on nc at [[4]] l ls clear and diminished at bases,remains on capacity at 4 capital l capital l is clear and diminished,DOSE-MISS candidate,,,,
41,detector,27984ad90703cedf54d2c84bfc6e1a3c,whisper,hausa,A,clinical,DOSE-MISS,40 meq,,2.0952,labs checked at this time repleted with [[40]] meq of k dur,check at this time he played it with 14 make of kd,DOSE-MISS candidate,,,,
42,detector,a8c855fb76476df248ee0277b5d8b74a,whisper,hausa,A,clinical,DOSE-MISS,750 mg,,2.0952,tablet oral ciprofloxacin hydrochloride ciprofloxacin hydrochloride eq [[750]] mg base pedestrian with other conveyance injured,initial encounter tablet oral cyprofloxacin hydrochloride cyprofloxacin hydrochloride eq 750 mgbs pedestrian with other conveyance,DOSE-MISS candidate,,,,
43,detector,27984ad90703cedf54d2c84bfc6e1a3c,aai,hausa,A,clinical,DOSE-UNIT,40 meq,40 mcg,1.0,labs checked at this time repleted with [[40]] meq of k dur,in left check at this time repleted with 40 mcg of kduur,DOSE-UNIT candidate,,,,
44,detector,27984ad90703cedf54d2c84bfc6e1a3c,dg-general,hausa,A,clinical,DOSE-UNIT,40 meq,40 mg,1.0,labs checked at this time repleted with [[40]] meq of k dur,at this time replayed it with 40 mg of k d u r,DOSE-UNIT candidate,,,,
45,detector,27984ad90703cedf54d2c84bfc6e1a3c,dg-medical,hausa,A,clinical,DOSE-UNIT,40 meq,40 mg,1.0,labs checked at this time repleted with [[40]] meq of k dur,in lab check at this time abulated with 40 mg of kdur,DOSE-UNIT candidate,,,,
46,detector,f5cb123d9ff58506553397ea7d69d50a,aai,etche,C,clinical,DOSE-UNIT,0.5 mcg,0.5 mg,1.0,6 calcitriol [[0.5]] mcg capsule sig one capsule po every,cassitriol 0.5 mg capsule one one capsule orally every other,DOSE-UNIT candidate,,,,
47,detector,f5cb123d9ff58506553397ea7d69d50a,dg-general,etche,C,clinical,DOSE-UNIT,0.5 mcg,0.5 mg,1.0,6 calcitriol [[0.5]] mcg capsule sig one capsule po every,one calcitriol 0.5 milligram capsule one capsule orally every other,DOSE-UNIT candidate,,,,
48,detector,f5cb123d9ff58506553397ea7d69d50a,dg-medical,etche,C,clinical,DOSE-UNIT,0.5 mcg,0.5 mg,1.0,6 calcitriol [[0.5]] mcg capsule sig one capsule po every,calcitriol 0.5 milligram capsule one capsule orally every other day,DOSE-UNIT candidate,,,,
49,detector,f5cb123d9ff58506553397ea7d69d50a,whisper,etche,C,clinical,DOSE-UNIT,0.5 mcg,0.5 mg,1.0,6 calcitriol [[0.5]] mcg capsule sig one capsule po every,kasi try of 0.5 mg capsule one capsule orally every,DOSE-UNIT candidate,,,,
50,detector,320840b5470cf91679cb154ecddc4d86,aai,hausa,A,clinical,DOSE-VAL,8 units,80 units,1.0476,elevated inr the patient was given [[8]] units of fresh frozen plasma with correction,elevated inr the patient was given 80 units of fresh frozen plasma with correction,DOSE-VAL candidate,,,,
51,detector,9d77d58566ed0e963ae1123e3ab50cee,dg-medical,idoma,B,clinical,DOSE-VAL,500 mg,100 mg,1.0476,flagyl [[500]] mg tablet hospital oyatu one one tablet,100 milligram tablet hospital oya 21 tablet per oral,DOSE-VAL candidate,,,,
52,detector,52ad387abe4206177fecb12004fc81c5,gemini,pidgin,B,clinical,DOSE-VAL,35 ml,335 ml,1.0476,took 62 and [[35]] cc well with yellow nipple,262 and 335 cc well with yellow nipple,DOSE-VAL candidate,,,,
53,detector,320840b5470cf91679cb154ecddc4d86,dg-general,hausa,A,clinical,DOSE-VAL,8 units,80 units,1.0476,elevated inr the patient was given [[8]] units of fresh frozen plasma with correction,i and half the patient was immune 80 units of fresh frozen plasma with correction,DOSE-VAL candidate,,,,
54,detector,a8c855fb76476df248ee0277b5d8b74a,gemini,hausa,A,clinical,DOSE-VAL,750 mg,2750 mg,1.0476,tablet oral ciprofloxacin hydrochloride ciprofloxacin hydrochloride eq [[750]] mg base pedestrian with other conveyance injured,encounter tablet oral ciprofloxacin hydrochloride ciprofloxacin hydrochloride 2750 mg pedestrian with other conveyance injured in,DOSE-VAL candidate,,,,
55,detector,47563df782e059f397a062dc9c49dedc,gemini,ebira,B,clinical,DOSE-VAL,15 mg,50 mg,1.0476,comfort on fentanyl 500 mcq hr versed [[15]] mg hr and ms gtt at 5,comfort on fentanyl 500 mcg hr versed 50 mg hr and ms gtt at 5,DOSE-VAL candidate,,,,
56,detector,eaa66b82d267fa11b54cf412eb32aab3,gemini,idoma,B,clinical,DOSE-VAL,40 ml,140 ml,1.0476,pox one [[40]] cc and bfx one so far this,pox 140 cc and bfx one so far the shift,DOSE-VAL candidate,,,,
57,detector,868cbb2849424d087eb7b0b2dd76e3c6,whisper,bassa,C,clinical,DOSE-VAL,250 mg,150 mg,1.0476,carbidopa and levodopa carbidopa levodopa 25 mg [[250]] mg glaucoma secondary to other eye disorders,carbidopa and levodopa carbidopa levodopa 25 mg 150 mg glaucoma secondary to other eye disorders,DOSE-VAL candidate,,,,
58,detector,47563df782e059f397a062dc9c49dedc,dg-general,ebira,B,clinical,DOSE-VAL,15 mg,50 mg,1.0476,comfort on fentanyl 500 mcq hr versed [[15]] mg hr and ms gtt at 5,on fentanyl 500 mcq per hour vas 50 milligram per hour and msgtt at 5,DOSE-VAL candidate,,,,
59,detector,47563df782e059f397a062dc9c49dedc,dg-medical,ebira,B,clinical,DOSE-VAL,15 mg,50 mg,1.0476,comfort on fentanyl 500 mcq hr versed [[15]] mg hr and ms gtt at 5,on fentanyl 500 mcq per hour vas 50 milligram per hour and msgtt at 5,DOSE-VAL candidate,,,,
60,detector,aeffc6466b2f3e6a60d1a381c6688d62,gemini,igbo,A,general,DOSE-VAL,445 kg,4445 kg,1.0476,empty weight approximately 9 800 lb 4 [[445]] kg,mtw column approximately 9800 ip 4445 kg,DOSE-VAL candidate,,,,
61,detector,957f35f6f15f3598a944d8e025c18c1e,dg-medical,hausa,A,clinical,DOSE-VAL,113 days,13 days,1.0476,ebe iebonaem [[113]] days old cga 43 wks,lebonium 13 days old cga 43 weeks,DOSE-VAL candidate,,,,
62,detector,aeffc6466b2f3e6a60d1a381c6688d62,whisper,igbo,A,general,DOSE-VAL,445 kg,4445 kg,1.0476,empty weight approximately 9 800 lb 4 [[445]] kg,empty weight kulu opposed medley 9800 ib 4445 kg,DOSE-VAL candidate,,,,
63,detector,aeffc6466b2f3e6a60d1a381c6688d62,aai,igbo,A,general,DOSE-VAL,445 kg,4445 kg,1.0476,empty weight approximately 9 800 lb 4 [[445]] kg,empty weight approximately 9800 lb 4445 kg,DOSE-VAL candidate,,,,
64,detector,320840b5470cf91679cb154ecddc4d86,dg-medical,hausa,A,clinical,DOSE-VAL,8 units,80 units,1.0476,elevated inr the patient was given [[8]] units of fresh frozen plasma with correction,i and r the patient was immune 80 units of fresh frozen plasma with correction,DOSE-VAL candidate,,,,
65,detector,695771856cc6a19aadcc9c02daeb816b,gemini,estako,C,clinical,DOSE-VAL,200 mg,400 mg,1.0476,oral advil congestion relief ibuprofen phenylephrine hydrochloride [[200]] mg 10 mg unspecified injury of pelvis,oral at view congestion relief ibuprofen 400 mg 10 mg un specified injury of pelvis,DOSE-VAL candidate,,,,
66,detector,fb226674b17933ee5365ba61f4e6f578,aai,etche,C,clinical,DOSE-VAL,57 ml,27 ml,1.0476,amt [[57]] ml opti 240 60 ml opti 320,amount 27 ml opti 240 60 ml opti 320,DOSE-VAL candidate,,,,
67,detector,52ad387abe4206177fecb12004fc81c5,dg-medical,pidgin,B,clinical,DOSE-VAL,35 ml,335 ml,1.0476,took 62 and [[35]] cc well with yellow nipple,262 and 335 cc well with yellow nipple,DOSE-VAL candidate,,,,
68,detector,868cbb2849424d087eb7b0b2dd76e3c6,dg-medical,bassa,C,clinical,DOSE-VAL,250 mg,150 mg,1.0476,carbidopa and levodopa carbidopa levodopa 25 mg [[250]] mg glaucoma secondary to other eye disorders,carbidopa and levodopa carbidopa levodopa 25 milligrams 150 milligrams glaucoma secondary to other eye disorders,DOSE-VAL candidate,,,,
69,detector,a52cc1bdf941a9b4d76061ddbda05072,gemini,igbo,A,clinical,DOSE-VAL,25 mg,5 mg,1.0476,quetiapine fumarate [[25]] mg tablet sig one one tablet po,which has been twice in 5 mg tablets cell me show,DOSE-VAL candidate,,,,
70,detector,bde569d1c5436b9011e7291e0591791d,gemini,itsekiri,C,clinical,DOSE-VAL,30 units,10 units,1.0476,[[30]] units of lantus given riss scale per,10 units of lantus given rescale per cvicu,DOSE-VAL candidate,,,,
71,detector,c43d8faa6efe9020bdd669a67ba1e988,dg-medical,efik,C,clinical,DRUG-DEL,rituximab,,3.3404,solution subcutaneous rituxan hycela [[rituximab]] hyaluronidase 1600 mg and 26800 units 13.4,subcutaneous rituxan hicellar rituxan high alluron needles human recombinant 1600 mg and 26800,DRUG-DEL candidate,,,,
72,detector,6afed7fe39a177c3d510b925d8267a94,whisper,swahili,A,general,DRUG-DEL,trimethoprim,,3.3404,antimalarial drugs include pyrimethamine proguanil chlorproguanil and [[trimethoprim]],ayaleada antimariri drugs include parimedamine proguanil kloroproguanil anthrimedaroprim,DRUG-DEL candidate,,,,
73,detector,cf42ee5d7ae6579d20f480a8cf8dc00f,dg-general,ibibio,B,clinical,DRUG-DEL,diltiazem,,3.3404,from scooter sequela capsule extended release oral [[diltiazem]] hydrochloride diltiazem hydrochloride 120 mg contracture left,scrotal non motorized sequelae capsule extended release bora dilithiazem hydrochloride dilithiazem hydrochloride 120 milligram contracture,DRUG-DEL candidate,,,,
74,detector,cf42ee5d7ae6579d20f480a8cf8dc00f,whisper,ibibio,B,clinical,DRUG-DEL,diltiazem,,3.3404,from scooter sequela capsule extended release oral [[diltiazem]] hydrochloride diltiazem hydrochloride 120 mg contracture left,from scooter non motorized sequela capsule extended release boradilithiazem hydrochloride dilithiazem hydrochloride 120 mg contracture,DRUG-DEL candidate,,,,
75,detector,bfd411fa6e39fb7fb11f7264221e139a,gemini,ekene,C,clinical,DRUG-DEL,prazosin,,3.3404,congenital deformity of sternocleidomastoid muscle capsule oral [[prazosin]] hydrochloride prazosin hydrochloride eq 5 mg base,twin deformity of 100 clock and mastoid muscle capsule olaparibasin hydrochloride olaparibasin hydrochloride equivalent 5,DRUG-DEL candidate,,,,
76,detector,3fd85b94085df416782fb04d0f9da75a,whisper,kinyarwanda,B,clinical,DRUG-DEL,labetalol,,3.3404,other compoundsseveral other adrenoceptor antagonists similar to [[labetalol]] exhibit some degree of receptor antagonism,compounds several other adrenerceptor antagonist similar to the betel exhibit some degree of receptor antagonism,DRUG-DEL candidate,,,,
77,detector,b89670db369c7e025fb0d74ca94533af,dg-general,hausa,A,clinical,DRUG-DEL,cetirizine,,3.3404,syrup oral children is [[cetirizine]] hydrochloride allergy cetirizine hydrochloride 5 mg 5,cure all children is strenghin hydrochloride allergy strenghin hydrochloride 5 milligram for,DRUG-DEL candidate,,,,
78,detector,b89670db369c7e025fb0d74ca94533af,dg-medical,hausa,A,clinical,DRUG-DEL,cetirizine,,3.3404,syrup oral children is [[cetirizine]] hydrochloride allergy cetirizine hydrochloride 5 mg 5,sugar oral children is storazine hydrochloride allergy storazine hydrochloride 5 milligram for,DRUG-DEL candidate,,,,
79,detector,b89670db369c7e025fb0d74ca94533af,dg-general,hausa,A,clinical,DRUG-DEL,cetirizine,,3.3404,syrup oral children is [[cetirizine]] hydrochloride allergy cetirizine hydrochloride 5 mg 5,cure all children is strenghin hydrochloride allergy strenghin hydrochloride 5 milligram for,DRUG-DEL candidate,,,,
80,detector,cf605b3aaadbd365452e997fbc78122d,dg-medical,efik,C,clinical,DRUG-DEL,lisdexamfetamine,,3.3404,tablet chewable oral vyvanse [[lisdexamfetamine]] dimesylate 10 mg,tablets chewable oral vyvanse mesylate 10 mg,DRUG-DEL candidate,,,,
81,detector,2642efa06e8a4c32bc730201ae6b8110,dg-medical,xhosa,B,clinical,DRUG-DEL,conjugated,,3.3404,the major differences between unconjugated and [[conjugated]] bilirubin are summarized in table 21,the major difference between unconjuncted and conjucted biliary in i have summarized in table 21,DRUG-DEL candidate,,,,
82,detector,868ed2786d8b2dedffe5b5358c2c529d,dg-medical,agatu,C,clinical,DRUG-DEL,glargine,,3.3404,14 [[glargine]] sig 22 units at bedtime,nicaragine sig 22 22 unit at bedtime,DRUG-DEL candidate,,,,
83,detector,22347a0c96066c23a0b4037028963e8c,dg-general,kinyarwanda,B,clinical,DRUG-DEL,atovaquone,,3.3404,[[atovaquone]] is poorly absorbed from the gastrointestinal tract,etyvakon is probably absorbed from gastrointestinal tract but,DRUG-DEL candidate,,,,
84,detector,9b7de9c3315540a63648b9c1212db787,gemini,jaba,C,clinical,DRUG-DEL,cefotaxime,,3.3404,day 7 7 gent and day 7 [[cefotaxime]],a d 7 7 change nd 7 sefatazin,DRUG-DEL candidate,,,,
85,detector,2c417f9512707188cc0f0aba9d9a80ef,whisper,mada,C,clinical,DRUG-DEL,levonorgestrel,,3.3404,of unspecified femur subsequent encoun implant implantation [[levonorgestrel]] levonorgestrel 75 mg implant capsular contracture of,of unspecified femur subsequent encounter implant implantation levenogestrel levenogestrel 75 mg per implant capsular construction,DRUG-DEL candidate,,,,
86,detector,44fce3c7ec19dff506083c8a906750a3,dg-general,ijaw,A,clinical,DRUG-DEL,amnesteem,,3.3404,30 39% 3rd degree c capsule oral [[amnesteem]] isotretinoin 10 mg poisoning by cannabis undetermined,39% 3rd degree c capsule oral amnesty isotretinoin 10 milligram poisoning by cannabis open derivatives,DRUG-DEL candidate,,,,
87,detector,c43d8faa6efe9020bdd669a67ba1e988,dg-general,efik,C,clinical,DRUG-DEL,hyaluronidase,,3.3404,solution subcutaneous rituxan hycela rituximab [[hyaluronidase]] 1600 mg and 26800 units 13.4 ml,solution subcutaneous 1600 mg and 26800 units 13.4 ml,DRUG-DEL candidate,,,,
88,detector,bd6c36ca7dfb7303fc8ca6e11274a52f,whisper,isixhosa,C,clinical,DRUG-DEL,ketoconazole,,3.3404,for example [[ketoconazole]] and triazolam compete for binding to the,for example coma catechonozole and triazolam compete for binding to,DRUG-DEL candidate,,,,
89,detector,fbb74c6452c0cd8839a84a8e8a6edeab,dg-medical,akan,C,clinical,DRUG-DEL,dantrolene,,3.3404,[[dantrolene]] a ryanodine receptor antagonist is generally less,dantrolinear ryanodine receptor antagonist is generally less useful,DRUG-DEL candidate,,,,
90,detector,927f85be5b655d2292720b02da67a9f2,whisper,pidgin,B,clinical,DRUG-DEL,imatinib,,3.3404,have used radiation therapy and biologic agents [[imatinib]] with some success in patients with advanced,used radiation therapy and biological agents in martini with some success in patients with advanced,DRUG-DEL candidate,,,,
91,detector,c361cf1ef4cfa79c13cac6ea5f92ff83,gemini,swahili,A,clinical,DRUG-DEL,foscarnet,,3.3404,abnormal renal function has been noted when [[foscarnet]] is used with ritonavir or ritonavir and,renal function has been noted when foscar net is used with retroneva or retroneva and,DRUG-DEL candidate,,,,
92,detector,2642efa06e8a4c32bc730201ae6b8110,dg-general,xhosa,B,clinical,DRUG-DEL,conjugated,,3.3404,the major differences between unconjugated and [[conjugated]] bilirubin are summarized in table 21,the major difference between unconjuncted and conjucted biliary in i have summarized in table 21,DRUG-DEL candidate,,,,
